,Date,Title,Encabezado,SecLabel,Media
72,28/04/2017,"corea del norte disparo un misil balistico"">Corea del Norte sube la apuesta, pero fracasa al lanzar otro misil de prueba","corea del norte disparo un misil balistico"">Corea del Norte sube la apuesta, pero fracasa al lanzar otro misil de prueba",Mundo,Los Andes
73,28/04/2017,"donald trump gano el corazon de la influyente asociacion nacional del rifle"">Donald Trump ganó el corazón de la influyente Asociación Nacional del Rifle","donald trump gano el corazon de la influyente asociacion nacional del rifle"">Donald Trump ganó el corazón de la influyente Asociación Nacional del Rifle",Mundo,Los Andes
74,28/04/2017,"el papa en egipto muy protegido por temor a un atentado"">El Papa en Egipto, muy protegido por temor a un atentado","el papa en egipto muy protegido por temor a un atentado"">El Papa en Egipto, muy protegido por temor a un atentado",Mundo,Los Andes
75,28/04/2017,"francisco inicia su viaje a egipto en busca de la reconciliacion entre el cristianismo y el islam"">Francisco llegó a Egipto en busca de la ""reconciliación"" entre el cristianismo y el Islam","francisco inicia su viaje a egipto en busca de la reconciliacion entre el cristianismo y el islam"">Francisco llegó a Egipto en busca de la ""reconciliación"" entre el cristianismo y el Islam",Mundo,Los Andes
76,28/04/2017,"liberan al novio de la chica asesinada en playa el carmen"">Liberan al novio de la chica asesinada en Playa El Carmen","liberan al novio de la chica asesinada en playa el carmen"">Liberan al novio de la chica asesinada en Playa El Carmen",Mundo,Los Andes
77,28/04/2017,"para nocional en brasil la protesta llego a la casa de temer"">Paro nacional en Brasil: la protesta llegó a la casa de Temer","para nocional en brasil la protesta llego a la casa de temer"">Paro nacional en Brasil: la protesta llegó a la casa de Temer",Mundo,Los Andes
78,28/04/2017,"venezuela inicia salida de la oea"">Venezuela inicia salida de la OEA","venezuela inicia salida de la oea"">Venezuela inicia salida de la OEA",Mundo,Los Andes
79,28/04/2017,"crimen de micaela garcia detuvieron al hijastro de sebastian wagner"">Crimen de Micaela García: detuvieron al hijastro de Sebastián Wagner","crimen de micaela garcia detuvieron al hijastro de sebastian wagner"">Crimen de Micaela García: detuvieron al hijastro de Sebastián Wagner",Policiales,Los Andes
80,28/04/2017,"detuvieron a badaracco principal sospechoso de asesinar a araeli fulles"">Detuvieron a Badaracco, principal sospechoso de asesinar a Araceli Fulles","detuvieron a badaracco principal sospechoso de asesinar a araeli fulles"">Detuvieron a Badaracco, principal sospechoso de asesinar a Araceli Fulles",Policiales,Los Andes
81,28/04/2017,"dos hombres y una mujer detenidos por robos"">Dos hombres y una mujer detenidos por robos","dos hombres y una mujer detenidos por robos"">Dos hombres y una mujer detenidos por robos",Policiales,Los Andes
82,28/04/2017,"el peor final confirman que el cuerpo hallado en jose leon suarez es de araceli fulles"">El peor final: confirman que el cuerpo hallado en José León Suárez es de Araceli Fulles","el peor final confirman que el cuerpo hallado en jose leon suarez es de araceli fulles"">El peor final: confirman que el cuerpo hallado en José León Suárez es de Araceli Fulles",Policiales,Los Andes
83,28/04/2017,"encuentran un mensaje con un pedido de auxilio y firmado ara donde aparecio el cadaver"">Encuentran un desesperado pedido de auxilio firmado ""Ara"" donde apareció el cadáver","encuentran un mensaje con un pedido de auxilio y firmado ara donde aparecio el cadaver"">Encuentran un desesperado pedido de auxilio firmado ""Ara"" donde apareció el cadáver",Policiales,Los Andes
84,28/04/2017,"la bronca del padre de araceli no me confirmaron que sea ella la fiscal no sabe donde esta parada"">El padre de Araceli Fulles reconoció el cadáver de su hija en la morgue judicial","la bronca del padre de araceli no me confirmaron que sea ella la fiscal no sabe donde esta parada"">El padre de Araceli Fulles reconoció el cadáver de su hija en la morgue judicial",Policiales,Los Andes
85,28/04/2017,"la familia de araceli fulles apunto contra la fiscal no sabe ni donde esta parada"">La familia de Araceli Fulles apuntó contra la fiscal: ""No sabe ni donde está parada”","la familia de araceli fulles apunto contra la fiscal no sabe ni donde esta parada"">La familia de Araceli Fulles apuntó contra la fiscal: ""No sabe ni donde está parada”",Policiales,Los Andes
86,28/04/2017,"muertos y heridos graves en varios siniestros viales"">Muertos y heridos graves en varios siniestros viales","muertos y heridos graves en varios siniestros viales"">Muertos y heridos graves en varios siniestros viales",Policiales,Los Andes
87,28/04/2017,"otro accidente en la ruta 40 volco un camion en tunuyan"">Otro accidente en la Ruta 40: volcó un camión en Tunuyán","otro accidente en la ruta 40 volco un camion en tunuyan"">Otro accidente en la Ruta 40: volcó un camión en Tunuyán",Policiales,Los Andes
88,28/04/2017,"por femicidio el mono camargo seguira preso"">Por femicidio el “Mono” Camargo seguirá preso","por femicidio el mono camargo seguira preso"">Por femicidio el “Mono” Camargo seguirá preso",Policiales,Los Andes
