Date| Title| Encabezado | SecLabel 
28/04/2017|por segunda vez un policia se le escapo un detenido|por segunda vez un policia se le escapo un detenido|sucesos
28/04/2017|el papa egipto como peregrino de paz|el papa egipto como peregrino de paz|mundo
28/04/2017|el encanto y el espanto ruso|el encanto y el espanto ruso|mundo
28/04/2017|las freneticas 2400 horas de mister trump|las freneticas 2400 horas de mister trump|mundo
28/04/2017|el incendiario tuitero en jefe|el incendiario tuitero en jefe|mundo
28/04/2017|massa y stolbizer una alianza bonaerense|massa y stolbizer una alianza bonaerense|politica
28/04/2017|hace 100 anos la bubonica en ucacha|hace 100 anos la bubonica en ucacha|ciudadanos
28/04/2017|demasiada politica para una debil economia|demasiada politica para una debil economia|mundo
28/04/2017|cambiemos no definen aun el dia de la reunion|cambiemos no definen aun el dia de la reunion|politica
28/04/2017|en la zona de poeta lugones ya cuentan 30 delitos graves|en la zona de poeta lugones ya cuentan 30 delitos graves|sucesos
28/04/2017|fabiana pressacco el arte y las palabras pueden sanar y nutrir la infancia|fabiana pressacco el arte y las palabras pueden sanar y nutrir la infancia|ciudadanos
28/04/2017|atrapasuenos y el ovillo azul|atrapasuenos y el ovillo azul|ciudadanos
28/04/2017|quien mato emanuel balbo|quien mato emanuel balbo|sucesos
28/04/2017|un rol que pocos quieren asumir|un rol que pocos quieren asumir|ciudadanos
28/04/2017|juliana y melania del rojo al verde|juliana y melania del rojo al verde|mundo
28/04/2017|cinco detenidos por la desaparicion de la joven araceli|cinco detenidos por la desaparicion de la joven araceli|ciudadanos
28/04/2017|circunvalacion desde la semana proxima cambios en el transito|circunvalacion desde la semana proxima cambios en el transito|ciudadanos
28/04/2017|derechos humanos universidades daran capacitacion en las carceles|derechos humanos universidades daran capacitacion en las carceles|ciudadanos
28/04/2017|abriran area de oncologia en el nuevo hospital san roque|abriran area de oncologia en el nuevo hospital san roque|ciudadanos
28/04/2017|us 63 millones para trasladar la maternidad y el neuro|us 63 millones para trasladar la maternidad y el neuro|ciudadanos
28/04/2017|villa maria se declaro en emergencia|villa maria se declaro en emergencia|ciudadanos
29/04/2017|es altisima la densidad de gases toxicos en el centro de cordoba|es altisima la densidad de gases toxicos en el centro de cordoba|ciudadanos
29/04/2017|ante sunitas y ortodoxos el papa inicio arriesgada visita|ante sunitas y ortodoxos el papa inicio arriesgada visita|mundo
29/04/2017|investigan como fue el choque del motociclista que cayo al rio|investigan como fue el choque del motociclista que cayo al rio|sucesos
29/04/2017|la startup cordobesa socialtools fue adquirida por un fondo de eeuu|la startup cordobesa socialtools fue adquirida por un fondo de eeuu|negocios
29/04/2017|schiaretti cuestiono la nacion por los subsidios|schiaretti cuestiono la nacion por los subsidios|politica
29/04/2017|un problema impostergable|un problema impostergable|editorial
29/04/2017|maduro crea puestos oficiales de apertura de redes sociales|maduro crea puestos oficiales de apertura de redes sociales|mundo
29/04/2017|la mitad de los argentinos asegura que se venden drogas cerca de su casa|la mitad de los argentinos asegura que se venden drogas cerca de su casa|sucesos
29/04/2017|massa busca diferenciarse con propuestas economicas|massa busca diferenciarse con propuestas economicas|politica
29/04/2017|suben reintegros para autopartes metalmecanica textiles y muebles|suben reintegros para autopartes metalmecanica textiles y muebles|negocios
29/04/2017|otra gran crecida de la mar chiquita pone en alerta miramar|otra gran crecida de la mar chiquita pone en alerta miramar|ciudadanos
29/04/2017|lo que suma y lo que no|lo que suma y lo que no|opinion
29/04/2017|siguen sin arrancar nueve obras importantes de la concertacion|siguen sin arrancar nueve obras importantes de la concertacion|ciudadanos
29/04/2017|el fiscal apunta al entorno familiar de maria eugenia|el fiscal apunta al entorno familiar de maria eugenia|sucesos
29/04/2017|100 dias y la aceptacion de un posible ataque nuclear|100 dias y la aceptacion de un posible ataque nuclear|mundo
29/04/2017|divididos los gremios celebran el 1deg de mayo|divididos los gremios celebran el 1deg de mayo|politica
29/04/2017|el quiosco que todos llevamos adentro|el quiosco que todos llevamos adentro|ciudadanos
29/04/2017|el truco de magia menos esperado|el truco de magia menos esperado|opinion
29/04/2017|el profesor de matematicas que convoca multitudes|el profesor de matematicas que convoca multitudes|ciudadanos
29/04/2017|el renacer del partido democrata al calor de las protestas y el impulso juvenil|el renacer del partido democrata al calor de las protestas y el impulso juvenil|mundo
29/04/2017|en el colegio el error es el enciclopedismo|en el colegio el error es el enciclopedismo|ciudadanos
29/04/2017|cuando el delito viaja en dos ruedas|cuando el delito viaja en dos ruedas|sucesos
29/04/2017|de la sota la foto y tambien la duda|de la sota la foto y tambien la duda|politica
29/04/2017|el aire que respiramos|el aire que respiramos|ciudadanos
29/04/2017|una semana preso confundido con un narco|una semana preso confundido con un narco|sucesos
29/04/2017|hace 100 anos viaje de la sarmiento|hace 100 anos viaje de la sarmiento|ciudadanos
29/04/2017|desafio frontal al estado islamico|desafio frontal al estado islamico|mundo
29/04/2017|ultimas noticias del planeta k|ultimas noticias del planeta k|politica
29/04/2017|otro joven escapo del complejo esperanza|otro joven escapo del complejo esperanza|sucesos
29/04/2017|macri tienen muchas ganas de ayudarnos|macri tienen muchas ganas de ayudarnos|politica
29/04/2017|paro general en brasil dividio opiniones|paro general en brasil dividio opiniones|mundo
29/04/2017|mestre larreta y corral por la gestion|mestre larreta y corral por la gestion|politica
29/04/2017|los peores 20 anos para cordoba|los peores 20 anos para cordoba|ciudadanos
29/04/2017|como se podria mitigar el problema|como se podria mitigar el problema|ciudadanos
29/04/2017|sin monitoreo del aire en la ciudad y en el pais|sin monitoreo del aire en la ciudad y en el pais|ciudadanos
